Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Lical Image,Radius,Rating,Review Count,Invnetory Link
D-24787037,South Point Hyundai,N/A,4610 Ih-35 S,Austin,TX,"Austin, TX",N/A,78745,I would not recommend this dealership. Someone contacted me and said the car I was interested was there and ready. I submitted my application within minutes for them to only text me to say they sold the car would I like something else. How unprofessional. Look somewhere else!,https://static.cargurus.com/images/site/2015/04/29/12/22/south_point_hyundai-pic-2548145938988278860-200x200.jpeg,public/uploads/dealer/South-Point-Hyundai_Austin_TX.jpg,4 mi,4.1,12,https://www.cargurus.com/Cars/m-South-Point-Hyundai-sp53640,1,1
D-24787038,Texas Central Motors,N/A,5419 N. Lamar,Austin,TX,"Austin, TX",N/A,78751,"Quick phone answer, straight forward, outstanding communication",https://static.cargurus.com/images/site/2017/05/17/14/54/texas_central_motors-pic-5035610483406048395-200x200.jpeg,public/uploads/dealer/Texas-Central-Motors_Austin_TX.jpg,4 mi,5.0,1,https://www.cargurus.com/Cars/m-Texas-Central-Motors-sp284768,1,1
D-24787039,Audi South Austin,N/A,4738 S Interstate 35 Frontage Rd,Austin,TX,"Austin, TX",N/A,78745,"Very helpful, knowledgeable and accommodating",https://static.cargurus.com/images/site/2015/06/27/12/27/audi_south_austin-pic-8051384435493377797-1600x1200.jpeg,public/uploads/dealer/Audi-South-Austin_Austin_TX.jpg,4 mi,4.2,4,https://www.cargurus.com/Cars/m-Audi-South-Austin-sp363200,1,1
D-24787040,Sterling Acura Of Austin,N/A,4801 I-35,Austin,TX,"Austin, TX",N/A,78744,No reviews available,No image,,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Sterling-Acura-Of-Austin-sp59774,1,1
D-24787041,AutoNation Toyota South Austin,N/A,4800 Ih-35 South,Austin,TX,"Austin, TX",N/A,78745,I was notified the car was still available Monday morning after asking for information Sunday night. I had an appointment Monday afternoon to meet at the dealership Tuesday. It was nice to get all my questions answered before seeing the vehicle.,https://static.cargurus.com/images/site/2019/05/22/10/28/autonation_toyota_south_austin-pic-3124002641270726536-1600x1200.jpeg,public/uploads/dealer/AutoNation-Toyota-South-Austin_Austin_TX.jpg,4 mi,4.1,14,https://www.cargurus.com/Cars/m-AutoNation-Toyota-South-Austin-sp54809,1,1
D-24787042,City Limits Nissan,N/A,4914 South Interstate 35 Frontage Road,Austin,TX,"Austin, TX",N/A,78745,No reviews available,https://static.cargurus.com/images/site/2024/05/07/08/53/city_limits_nissan-pic-3861902037622830227-200x200.jpeg,public/uploads/dealer/City-Limits-Nissan_Austin_TX.jpg,5 mi,N/A,N/A,https://www.cargurus.com/Cars/m-City-Limits-Nissan-sp349657,1,1
D-24787043,Maxwell Ford,N/A,5000 South IH-35,Austin,TX,"Austin, TX",N/A,78745,"We had a very limited experience with them, but they conducted themselves in a professional manner. We decided to go with a different make of car... This decision had nothing to do with the dealership.",https://static.cargurus.com/images/site/2020/01/10/16/11/maxwell_ford-pic-8292171418163036141-200x200.jpeg,public/uploads/dealer/Maxwell-Ford_Austin_TX.jpg,5 mi,3.9,34,https://www.cargurus.com/Cars/m-Maxwell-Ford-sp342670,1,1
D-24787044,South Point Dodge Chrysler Jeep,N/A,5210 IH-35 South,Austin,TX,"Austin, TX",N/A,78745,"Very nice guy, and experience! Although I was getting spammed messages, plus calls. 4/5 stars!",https://static.cargurus.com/images/site/2021/02/04/14/05/south_point_dodge_chrysler_jeep-pic-14514466122524619357-200x200.jpeg,public/uploads/dealer/South-Point-Dodge-Chrysler-Jeep_Austin_TX.jpg,5 mi,4.8,4,https://www.cargurus.com/Cars/m-South-Point-Dodge-Chrysler-Jeep-sp302499,1,1
D-24787045,Kia of South Austin,N/A,5306 Hwy 35 S,Austin,TX,"Austin, TX",N/A,78745,fast response time,https://static.cargurus.com/images/site/2020/01/10/16/41/kia_of_south_austin-pic-8111795558701619892-200x200.jpeg,public/uploads/dealer/Kia-of-South-Austin_Austin_TX.jpg,5 mi,4.2,10,https://www.cargurus.com/Cars/m-Kia-of-South-Austin-sp68022,1,1
D-24787046,BMW of South Austin,N/A,"5501 S I H 35,  SVRD NB",Austin,TX,"Austin, TX",N/A,78744,"Was not able to meet my deal by $2k, but where good to keep me updated.",https://static.cargurus.com/images/site/2018/06/21/13/21/bmw_of_south_austin-pic-3888545717999028661-200x200.jpeg,public/uploads/dealer/BMW-of-South-Austin_Austin_TX.jpg,5 mi,4.9,9,https://www.cargurus.com/Cars/m-BMW-of-South-Austin-sp411035,1,1
