current_price,original_price,discount_percent,product_title,product_review,product_total_review,product_sold_count,product_color_text
$0.99,$13.00,92% off,Trolley Bookshelf Kitchen Storage Rack Kitchen Corner Narrow Slit Storage Cabinet Bathroom Living Room Home Organizer Gifts,  4.3  ,20 Reviews,"4,000+ sold",3-layer
$0.99,$14.95,93% off,Trolley Bookshelf Kitchen Storage Rack Kitchen Corner Narrow Slit Storage Cabinet Bathroom Living Room Home Organizer Gifts,  4.3  ,20 Reviews,"4,000+ sold",4-layer
$0.99,$11.57,91% off,Trolley Bookshelf Kitchen Storage Rack Kitchen Corner Narrow Slit Storage Cabinet Bathroom Living Room Home Organizer Gifts,  4.3  ,20 Reviews,"4,000+ sold",2-layer
$0.99,$16.29,93% off,Trolley Bookshelf Kitchen Storage Rack Kitchen Corner Narrow Slit Storage Cabinet Bathroom Living Room Home Organizer Gifts,  4.3  ,20 Reviews,"4,000+ sold",5-layer
