Vehicle Image,Vehicle Type,Vehicle Title,Vehicle Mileage,Vehicle Details Href,Primary Price,Secondary Price,Popularity Type,trim,make,customer_id,listing_id,sponsored,stock_type,model_year,model,msrp,sponsored_type,price,bodystyle,cpo_indicator,page_url,referer_url
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/c6495f02-3629-5579-99d8-047d2316e0d9/25c2bd0d-ca16-4b79-93b8-1fa709404d00/o9XNJdgMdT1VXhbJ-eHrwTSwwPM.jpg,New,2023 Dodge Charger Scat Pack,N/A,https://www.cars.com/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,"$58,400","MSRP $58,400",Fair Deal,scat pack,dodge,205844,1d634711-0d2d-40c5-9ee6-d7b13e86ba72,False,new,2023,charger,58400,standard,58400,sedan,False,https://www.cars.co/vehicledetail/1d634711-0d2d-40c5-9ee6-d7b13e86ba72/,https://www.cars.com/dealers/205844/freedom-dodge-chrysler-jeep-ram-by-ed-morse/inventory/
https://platform.cstatic-images.com/large/in/v2/b1afedf6-c2ba-538c-845b-087e080fbff8/e35876f2-0dd7-497f-b0a2-536211adf03b/WC1jPwRebnvufeCOMTUR_JsmHyY.jpg,Used,2016 GMC Terrain SLE-1,N/A,https://www.cars.com/vehicledetail/06a757f9-c620-4e0a-a58d-28f618e86b2b/,"$10,950",N/A,Fair Deal,sle_1,gmc,177893,06a757f9-c620-4e0a-a58d-28f618e86b2b,False,used,2016,terrain,0,standard,10950,suv,False,https://www.cars.co/vehicledetail/06a757f9-c620-4e0a-a58d-28f618e86b2b/,https://www.cars.com/dealers/177893/ella-blvd-motors/inventory/
https://platform.cstatic-images.com/large/in/v2/b1afedf6-c2ba-538c-845b-087e080fbff8/e35876f2-0dd7-497f-b0a2-536211adf03b/WC1jPwRebnvufeCOMTUR_JsmHyY.jpg,Used,2016 GMC Terrain SLE-1,N/A,https://www.cars.com/vehicledetail/06a757f9-c620-4e0a-a58d-28f618e86b2b/,"$10,950",N/A,Fair Deal,sle_1,gmc,177893,06a757f9-c620-4e0a-a58d-28f618e86b2b,False,used,2016,terrain,0,standard,10950,suv,False,https://www.cars.co/vehicledetail/06a757f9-c620-4e0a-a58d-28f618e86b2b/,https://www.cars.com/dealers/177893/ella-blvd-motors/inventory/
https://platform.cstatic-images.com/large/in/v2/b1afedf6-c2ba-538c-845b-087e080fbff8/e35876f2-0dd7-497f-b0a2-536211adf03b/WC1jPwRebnvufeCOMTUR_JsmHyY.jpg,Used,2016 GMC Terrain SLE-1,N/A,https://www.cars.com/vehicledetail/06a757f9-c620-4e0a-a58d-28f618e86b2b/,"$10,950",N/A,Fair Deal,sle_1,gmc,177893,06a757f9-c620-4e0a-a58d-28f618e86b2b,False,used,2016,terrain,0,standard,10950,suv,False,https://www.cars.co/vehicledetail/06a757f9-c620-4e0a-a58d-28f618e86b2b/,https://www.cars.com/dealers/177893/ella-blvd-motors/inventory/
